chunk_number,heading,heading_level,page,content_sample
11,3. AUMC features to support Customer Tenders (Continued),1,5,1212969  HAL4.0-Analog +3V issue Issue TM HAL Applications 2 1213513  HAL4.0 BGM node Flag error Issue TM HAL Applications 3 1218526  Error while closing the CBCTp Patient with ARIA ChartPrint - Cannot print paper chart after CBCTp Issue TM HAL Applications 4 1228365  Re-reconstruction of an extended CBCT in CBCTp Review workspace may result in a volume with gap/empty slices in the center. Issue TM HAL Imaging 5 1228372  HAL4.0 CBCT workstation Image update Issue TM HAL Manufacturing 6 1231691 CBCT Reconstructor Image wrong workstation name Issue TM HAL Imaging 7 1248045  Halcyon v4.0TRR3 Ember Deployment Definition directory contains Halcyon and TrueBeam deployment files Issue TM HAL Applications 8 1262145  PeerSync - SW changes for PeerSync configuration to support MPC business needs Issue TDS Halcyon PO 9 1264472  HAL 4 Pre-clinical finding - Customers unable to perform IGRT using a slow scan time for High Performance Imager Issue TDS Halcyon PO
12,10 1264480  HU Calibration Check (water insert) in clinical mode to be,1,5,performed for all configurations with XL imager Issue TM HAL Imaging
13,11 1264485  Reconstruction Mode missing in IGRT DICOM image comments,1,5,(Ethos support) Issue TM HAL Imaging
14,12 1267196  PeerSync- SW changes for PeerSync configuration to support MPC,1,5,business needs (STB update) Issue TDS Halcyon PO
15,13 1267201  PeerSync - MPC Reference Guide requires changes for PeerSync,1,5,configuration option (CRN) Issue TDS Halcyon PO
16,14 1274921  HAL 4 Investigational Use - Reconstruction using MAR Acuros,1,5-6,"(1mm, Head Protocol) crashes Issue TM TDIS Imaging Algorithms HAL 4.0 MR1 Maintenance Release Document This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date D69533 05 Date of last e-Sign DND01F02 Rev 01 Page 6 of 34"
17,15 1284562  HET 4.0 VA00178863 Failed to allocate CUDA memory,1,6,Issue TM TDIS Imaging Algorithms
18,16 1284660  HAL 4 Investigational Use - HU uniformity cupping effect,1,6,Issue TM TDIS Imaging Algorithms
19,17 1310863  HAL 4 MR1 - STB needs to be updated to include the AUMC,1,6,changes Issue TDS Halcyon PO
20,18 1311681  Migration of CBCT modes: the Iterative_Acuros reconstructions are,1,6,not available for IGRT modes Issue TM HAL Imaging
21,19 1312448  Strong artifact in clinical images with XL imager RTI8643iL,1,6,Issue TM TDIS Imaging Algorithms
22,20 1321058 kV Dose Report file (RDSR) not created for Ethos Session Image,1,6,Issue TM HAL Imaging
23,21 1164978  HAL v4.0 Factory Image must have SmartConnectSC2019,1,6,Issue TM HAL Applications
24,"22 1182497  Motion monitoring box disappeared after beam on, when",1,6,monitoring region was placed at topmost position in live view. Issue TM HAL Applications
25,23 1197032  HAL4.0 MR1 - Correct the Display of MaximQA & IDENTIFY&,1,6,HyperSight Product Backlog Item TM HAL Applications
26,24 1276643  HAL 4 MPC - support business needs for HyperSight (Advanced,1,6,Imaging) Product Backlog Item TDS Halcyon PO
27,25 1237875  Different tolerances of Pixel size validation checks for plan creation,1,6,and session preparation processes Product Backlog Item TM HAL Imaging
28,26 1251923  Improve UX Issue - Machines going into Standby,1,6,Product Backlog Item TM HAL Applications
29,27 1253934  UX - Misalignment of the laser bar in CBCTp,1,6,Product Backlog Item TM HAL Applications
30,"28 1276583  Customer Tenders (MVP, AUMC) - Customer Access to Re-Capture",1,6,Offsets for Bore Collision Detection Product Feedback TDS Halcyon PO
31,"29 1276585  Customer Tenders (MVP, AUMC) - View only view of MPC",1,6-7,"Parameters Product Feedback TDS Halcyon PO HAL 4.0 MR1 Maintenance Release Document This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date D69533 05 Date of last e-Sign DND01F02 Rev 01 Page 7 of 34 1.2 Project Roles, Team, and Responsibilities Name Title Roles (as defined in DND0101 RACI) Sr SW Engineer (Applications) Thirumali Valliappan Design Implementation Jozef Veis Sr SW Engineer (Applications) Design Implementation Strzepka, Katarzyna  Product Verification Engineer Design Implementation Vaclav Brandejsky Mgr, Product Support Engineering Design Implementation Jason Wiener/Danica Lead Systems Engineer Design Implementation Wyatt Magdalena Constantin Sr Product Manager Product Management Asha Dholakia Project (Design) Mgr Project Management Jimmy Hernandez Bello Sr Product Marketing Manager Marketing"
32,"29 1276585  Customer Tenders (MVP, AUMC) - View only view of MPC (Continued)",1,7-8,"Chi Tran Sr QA Engineer Quality Assurance Krystina Szafran Systems Engineer Risk Management Stuart Crowther Sr Regulatory Specialist Regulatory Affairs Mitko Katsev SME Cybersecurity Cybersecurity Ramakrishna Narne Mgr, SW Engineer (Applications) DevOps Laura Buchanan Validation Specialist Test David Wu Sr Product Verification Engineer Test Jennifer Lin/ Haiping Wang/ Wei Chen Master Scheduler Technical Sourcing Specialist SC NP coordinator Supply Chain Dong Luo, Hao Sun, Xiang Peng, Jinkai Shi, Elf Du Mfg PM/Eng (Beijing) Manufacturing Priti Kamat Sr Project (Design) Manager GlobalOps Field NPI Judy Walthers von Alten, Eric De Biasi Sr Project (Design) Manager, Global Product Labeling Sr Technical Writer Stephan Warfield  PSE Hardware Specialist PLCS, GCS Adam Strzelecki Sr Staff Research Scientist Design Implementation HAL 4.0 MR1 Maintenance Release Document This document contains confidential, proprietary information of Varian"
33,"29 1276585  Customer Tenders (MVP, AUMC) - View only view of MPC (Continued)",1,8,Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date D69533 05 Date of last e-Sign DND01F02 Rev 01 Page 8 of 34 Resource / Name Constraint/Com Variance* ment Oct 22 Nov 22 Dec 22 Jan 23 Feb 23 Mar 23 Apr 23 May 23 Dipesh Shah Team 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 20% NA Jozef Veis (Team incl. SQE) 8.0 25.0 15.0 25.0 25.0 15.0 4.0 4.0 20% NA Danica Wyatt 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 20% NA Magdalena Constantin 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 20% NA Asha Dholakia 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 20% NA Jimmy Hernandez Bello 0.05 0.25 0.2 0.35 0.35 0 0 0 20% NA Chi Tran 0.5 0.5 0.5 0.7 0.7 0.7 0.5 0.5 20% NA Krystina Szafran 0.2 0.5 0.5 0.2 0.2 0.2 0.2 0.2 20% NA Stuart Crowther 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 20% NA Laura Buchanan 0.1 0.8 0.8 2.4 2.4 1.6 1.6 1.6 20% NA 1.0 David Wu 1.0 4.5 5.0 5.0 5.0 5.0 5.0 20% NA Xiang Peng 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 20% NA
34,"29 1276585  Customer Tenders (MVP, AUMC) - View only view of MPC (Continued)",1,8-9,"Hao Sun 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 20% NA Priti Kamat 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 20% NA Judy Walthers von Alten 0 0.1  0.1 0.1  0 0 0 0 20% NA Eric De Biasi 0 0.1  0.1 0.1  0 0 0 0 20% NA Stephan Warfield 0.2 0.2 0.2 1.0 1.0 1.0 1.0 1.0 20% NA Paul Ugalde  0.2 0.2 0.2 1.0 1.0 1.0 1.0 1.0 20% NA Hai Ping Wang 0 0 0.05 0.05 0.05 0.05 0.05 0.05 20% NA Jennifer Lin 0 0 0.05 0.05 0.1 0.1 0.1 0.1 20% NA Adam Strzelecki (team incl.) 0.2 0.5 0.5 0.1 0 0 0 0 20% NA HAL 4.0 MR1 Maintenance Release Document This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date D69533 05 Date of last e-Sign DND01F02 Rev 01 Page 9 of 34 Allowable Category Total CostComment Variance* Engineering Labor $370,6394 +25% / 10% NA NA +25% / 10% No external service/testing Consulting Materials/Licenses $10,000 +25% / 10% Mfg labor cost to support test build Travel"
35,"29 1276585  Customer Tenders (MVP, AUMC) - View only view of MPC (Continued)",1,9,$7000 +25% / 10% $2000 – PDM travel cost $5000 – Travel to Palo Alto and or site for PSE Imaging.
36,"29 1276585  Customer Tenders (MVP, AUMC) - View only view of MPC > 1.3 Project Management Process > 1.3.1 Project Controls",3,9-10,"Following project Metrics will be tracked: · Schedule · Engineering testing efforts · V&V testing efforts · DR Statistics · Project costs The project metrics will be regularly reviewed during · Project team meetings · Program Review meetings · Management reviews Major deviations in scope shall also be escalated to the HAL Products Portfolio. Planning Assumptions: · Project scope is limited to the approved MVP HAL 4.0 MR1 Maintenance Release Document This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date D69533 05 Date of last e-Sign DND01F02 Rev 01 Page 10 of 34 · Project scope is limited to SW changes only that have been defined in section 1.1 · SN1772 (SN3 replacement) install timing will be post HAL 4.0 MR1 test activities completion. · No impact on regulatory submission · No HW changes"
37,"29 1276585  Customer Tenders (MVP, AUMC) - View only view of MPC > 1.3 Project Management Process > 1.3.1 Project Controls (Continued)",3,10,· No impact to the Halcyon and Ethos Radiotherapy System V4.0 price book Quality Control and Targets: · No new priority P1 or P2 DRs introduced with this maintenance release. · 2 or less P3 DRs at DTR. · Remove at least 25%% of the HAL4.0 CRN entries. Methodologies to Achieve Quality Target: · DR Reviews will be held as needed.
38,"29 1276585  Customer Tenders (MVP, AUMC) - View only view of MPC > 1.3 Project Management Process > 1.3.2 Design Control",3,10,"MRD scaling option C justification · This release happens at the same time with the GA (general availability) release for HAL 4.0 · The release does not introduce new functionality. · The release has no functional impact on the devices with which it interfaces, which means it is system and release independent. · No regulatory device registration is planned due to the results of this project."
39,"29 1276585  Customer Tenders (MVP, AUMC) - View only view of MPC > 1.3 Project Management Process > 1.3.3 Design Output Review",3,10,No separate Design Output Review (DOR) will be performed. An approval of the final MRD shall confirm that the design output activities have passed and closed.
40,"29 1276585  Customer Tenders (MVP, AUMC) - View only view of MPC > 1.3 Project Management Process > 1.3.4 Project Risk Management",3,10-12,"This section considers project risk management. Note that product risks and hazards are handled separately in the Risk Management Plan. HAL 4.0 MR1 Maintenance Release Document This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date D69533 05 Date of last e-Sign DND01F02 Rev 01 Page 11 of 34 · Addition of TRR2 and delay in the overall project timeline due to update in the project scope. · Timing of service activities (Documentation and upgrade path testing). · There is high probability of having new findings during TRR2 testing that will trigger a TRR3. · Cell Availability · Resource availability The project risk details are in the link below: Project: Information: HAL 4.0 MR1 - Power Apps (dynamics.com) HAL 4.0 MR1 Maintenance Release Document This document contains confidential, proprietary information of Varian"
41,"29 1276585  Customer Tenders (MVP, AUMC) - View only view of MPC > 1.3 Project Management Process > 1.3.4 Project Risk Management (Continued)",3,12,Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date D69533 05 Date of last e-Sign DND01F02 Rev 01 Page 12 of 34
42,"29 1276585  Customer Tenders (MVP, AUMC) - View only view of MPC > 1.3 Project Management Process > 1.3.5 Project Schedule",3,12,Name Duration Start Finish Project Kick-off 1 day 9/29/2022 9/29/2022 MRD Project Authorization 1 day 9/30/2022 9/30/2022 Engineering Implementation 73 days 10/3/2022 1/11/2023 MRD Planning Approval Rev02 5 days 11/17/2022 11/23/2022 MRD Planning Approval Rev03 9 days 1/11/2023 1/23/2023 Thanksgiving Holiday Break 5 days 11/21/2022 11/25/2022 Christmas Shut Down 7 days 12/23/2022 1/2/2023 Test cell/lab ready for VER/VAL dry run 6 days 1/5/2023 1/12/2023 Informal VER Testing/Dry Run Testing 5 days 1/12/2023 1/18/2023 Service dry-run on actual machine (SN3/SN9) 5 days 1/16/2023 1/20/2023 Service dry-run in lab setup 20 days 3/6/2023 3/31/2023 Informal VAL Testing/Dry run testing 3 days 1/19/2023 1/23/2023 ERM/BAT/TSCL (TRR1) 7 days 1/16/2023 1/24/2023 Verification TRR1 Approval 1 day 1/24/2023 1/24/2023 Formal Verification Testing (TRR1) 11 days 1/24/2023 2/7/2023 Formal Verification Regression Testing (TRR1) 12 days 2/7/2023 2/22/2023 MRD Planning Approval Rev04 for planning verificatio
43,"29 1276585  Customer Tenders (MVP, AUMC) - View only view of MPC > 1.3 Project Management Process > 1.3.5 Project Schedule (Continued)",3,12-13,"TRR2 9 days 2/13/2023 2/23/2023 MRD Planning Approval Rev04 for scope update for TRR2 4 days 2/27/2023 3/2/2023 MRD Planning Approval Rev04 for scope update for TRR2 4 days 2/27/2023 3/2/2023 All changes received/fix done 1 day 2/17/2023 2/17/2023 Verification TRR2 SW build ready 1 day 2/22/2023 2/22/2023 ERM/BAT/TSCL (TRR2) 7 days 2/23/2023 3/3/2023 Verification TRR2 approval 2 days 3/3/2023 3/6/2023 SW Disk image ready (TRR2) 10 days 3/6/2023 3/17/2023 Formal verification testing TRR2 15 days 3/6/2023 3/24/2023 Informal VAL testing/dry run testing (TRR2 build) 7 days 3/14/2023 3/22/2023 Baden Eng activities on SN6 22 days 1/20/2023 3/24/2023 CRN Update and approval 40 days 1/16/2023 3/10/2023 HAL 4.0 MR1 Maintenance Release Document This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date D69533 05 Date of last e-Sign DND01F02 Rev 01"
44,"29 1276585  Customer Tenders (MVP, AUMC) - View only view of MPC > 1.3 Project Management Process > 1.3.5 Project Schedule (Continued)",3,13,Page 13 of 34 Publish CRN (English) 1 day 3/13/2023 3/13/2023 CRN Localization 21 days 3/31/2023 4/28/2023 Golden Media Testing and verification 3 days 4/3/2023 4/5/2023 STB and service documentation update (drafted and reviewed) 26 days 2/23/2023 3/30/2023 Service Plan Update and approval 15 days 3/10/2023 3/30/2023 DFR Approval 1 day 4/3/2023 4/3/2023 Validation environment upgrade testing (Service) 3 days 4/4/2023 4/6/2023 Validation TRR Approval 1 day 4/10/2023 4/10/2023 Formal Validation Testing and Regression Testing 7 days 4/11/2023 4/19/2023 V&V Documentation Complete 5 days 4/20/2023 4/26/2023 V&V Complete (Approval) 1 days 4/27/2023 4/27/2023 Manufacturing Practice with TRR2 image 7 days 3/13/2023 3/21/2023 7 days 3/13/2023 3/21/2023 · Console test build SW ECN Authorization 3 days 4/20/2023 4/24/2023 Final MRD Approval 3 days 4/28/2023 5/2/2023 ECN approval 5 days 4/25/2023 5/4/2023 DTR 1 (field upgrades only) 1 day 5/5/2023 5/5/2023
45,"29 1276585  Customer Tenders (MVP, AUMC) - View only view of MPC > 1.3 Project Management Process > 1.3.5 Project Schedule (Continued)",3,13-14,"SW ECN implementation 13 days 5/4/2023 5/17/2023 5 days 5/4/2023 5/10/2023 · MI & MBOM update/release 5 days 5/11/2023 5/17/2023 · MES update Production Qualification 15 days 5/18/2023 6/7/2023 DTR 2 (production cut-in) 1 day 6/16/2023 6/16/2023 Note: DTR 1 is to release the field upgrade procedure for upgrading HAL 4.0 to HAL 4.0 MR1 and to meet the business goals. DTR 2 is for production machine build process and for HAL 4.0 GA readiness. Timeline is valid only for the approved scope in this MRD. HAL 4.0 MR1 Maintenance Release Document This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date D69533 05 Date of last e-Sign DND01F02 Rev 01 Page 14 of 34"
46,"29 1276585  Customer Tenders (MVP, AUMC) - View only view of MPC > 1.4 Tools",2,14,"LL127 VMP Inventory Dashboard contains complete list of all tools validated for all Varian sites. https://teamup.varian.com/sites/vit/validation/Lists/Test%20VMP%20Inventory/AllItems.aspx New software will be developed using C# language using Windows Presentation Framework (WPF). Visual Studio and Microsoft TFS will be used as integrated development environment (IDE). Presently, the project scope is limited to windows applications. If the scope adds embedded software development, then those tools used by that group will be added. Tool Name  Version  Validation Report Team Foundation Server  15.117.26714.0  L14146 Validation Summary Report Visual Studio  Version 2019  L13906 Validation Summary Report ADLM  R8.0 and above LL127 Validation Master Plan Inventory https://teamup.varian.com/sites/vit/validation/Lists/Tes t%20VMP%20Inventory/AllItems.aspx?View={7905D0 F2-7C6B-40AD-BC17- 443BB02DCC0D}&SortField=LinkTitle&SortDir=Asc& Filter=1 Livelink DNA - Document"
47,"29 1276585  Customer Tenders (MVP, AUMC) - View only view of MPC > 1.4 Tools (Continued)",2,14,1.0  L4477 Validation Summary Report Numbering DHF Publishing Tool  1.0  L17931 Validation Summary Report Passolo  2018  L15739 Validation Summary Report PTW Octavius  1.0 L12266 Validation Summary Report for Varian Pre- Treatment Plan Quality Assurance System v1.0 L14630 Validation Summary Report for Arccheck Pre- treatment Plan Quality Assurance System v1.0 L13028 Validation Summary Report for PTW Isocheck v1.2 L16446 PSW VALIDATION RECORD-6.6 Validation TPMS Software Emulator  OSiM 1.011 Summary Report for OSim 1.011 Microsoft Visual Studio T4 Tool (Part of VS 2017) 2017 L14236-Rev 02-PSW VALIDATION RECORD-6.6 Validation Summary Report for Microsoft Visual Studio 2017 Coverity Static Code Analysis  2021.12.2  L19540 Impact Assessment Coverity 2021.12.2 Blackduck – Vulnerability assessment tool for software components 2022.10.3 Validation Master Plan Inventory - BlackDuck 2022.10 (varian.com) Document Overview: Impact Assessment- Black_Duck-2021.10.3.pdf (varian.com)
48,"29 1276585  Customer Tenders (MVP, AUMC) - View only view of MPC > 1.4 Tools (Continued)",2,14-15,"L17311 - Validation Summary Report Document Overview: L17311-Rev 01-PSW VALIDATION RECORD-6.6 Validation Summary Report for Black Duck 2020.4.1.pdf (varian.com) HAL 4.0 MR1 Maintenance Release Document This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date D69533 05 Date of last e-Sign DND01F02 Rev 01 Page 15 of 34"
49,"29 1276585  Customer Tenders (MVP, AUMC) - View only view of MPC > 1.5 Software Configuration Management",2,15,"The Software Configuration Management process in this section will be defined by the Development Operations team (DevOps@varian.com) during Elaboration. Infrastructure, Repositories, and Branching Strategy are defined in the sections following. For HAL 4.0, we have migrated all the console, embedded, NLS, and system builds from legacy XAML builds into TFS Azure Build Pipelines (vNext). For HAL 4.0, we will be providing a centralized deployment tool that would upgrade all console software from a centralized location. Formal builds will be available at: \\pa-netapp10\pa_tfsbuild\HAL Released software will be in Edgecast: https://pse.oscs.varian.com/"
50,"29 1276585  Customer Tenders (MVP, AUMC) - View only view of MPC > 1.5 Software Configuration Management > 1.5.1 Build Infrastructure and Repositories",3,15,"Installation, Operation and Performance Qualification [IQOQPQ] documents of the respective Build servers used to generate Console, Embedded, Imaging components, Ember Software and Prerequisite, NLS and System builds are uploaded to DHF and mentioned in the IQOQPQ documents listed below. D68533 IQOQPQ VM PABUILDHAL5 Rev 01.pdf D68551 IQOQPQ_VM_PAHAL40EMB Rev 1.0.docx.pdf D68586_IQOQPQ_VM_PABUILD33 Rev 1.0.docx.pdf D68723_IQOQPQ_VM_PABUILDDIGSIG01_01.pdf D69012 IQOQPQ_VM_EU-TFS19BLD11 Rev 1.pdf"
51,"29 1276585  Customer Tenders (MVP, AUMC) - View only view of MPC > 1.5 Software Configuration Management > 1.5.2 Branching Strategy",3,15-16,"Source code and Branching strategies for all the Console, Embedded, Imaging components Ember Software and Prerequisite, NLS and System builds are uploaded to DHF and mentioned in the Software Build Procedure documents listed below. · D67594_Halcyon_4.0_Console_Software_Build_Procedure_Rev_01.pdf · D68456 Halcyon 4.0 RTSS Build Procedure Rev 01.docx.pdf · D67814_XS_4.0_SBP_XINode_Rev_01.docx.pdf · D42334 CR SBP Rev 05.docx.pdf · D68539_MPC_2.37_SBP_Rev_01.pdf · D68717_HAL4_TI_2.37_SBP_Rev_02.docx.pdf · D68585 TDIS Ember Build Procedure Rev 01.docx.pdf · D67595_Halcyon_4.0_System_Build_Procedure_Rev_02.pdf HAL 4.0 MR1 Maintenance Release Document This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date D69533 05 Date of last e-Sign DND01F02 Rev 01 Page 16 of 34"
52,"29 1276585  Customer Tenders (MVP, AUMC) - View only view of MPC > 1.5 Software Configuration Management > 1.5.2 Branching Strategy (Continued)",3,16,The HAL 4.0 MR1 will be continuation of HAL 4.0 source code release branch in the team foundation server (TFS).
