sub_query,rerank_score,score,source,document_id,revision,chunk_index,title,page,text_content
Does the documentation meet regulatory requirements for applicable markets?,0.62852144,0.415381312,D47457 HAL 4.0 APS Record Rev 04.docx.pdf,D47457,4,6,1.0 Introduction > 1.2     Scope,4,"This document evaluates the applicability of the product-specific standards, laws, and/or directives that must be met to obtain and maintain market access in target markets.  Additional standards may be included for evaluation based upon customer requests and commercial considerations. This document identifies the product-specific standards, laws, and/or directives that apply to the entire device or product. Project-specific requirements and timing may be specified in the Regulatory Plan and the Design and Development Plan. Regulations applicable to Varian Products 1.3 The product-specific standards, laws, and/or directives; and guidance documents listed within this record are used to demonstrate product compliance and/or conformity. The regulations with which Varian establishes its quality system and for which our company is audited and certified (ISO 13485, MDSAP) for ongoing compliance are maintained in the Varian Master Regulations and Standards List."
Does the organization have documented design and development procedures compliant with applicable regulations?,0.5984882,0.405914634,104993953MIN-001 - HAL4.0 - IEC 60601-1.pdf,104993953,,398,4 Supply voltage: (Continued),240,"Clause Requirement + Test Result - Remark Verdict TRF No. IEC60601_1S Attachment - Software – IEC 62304:2006 — c) the organization(s) responsible for performing software configuration management and ACTIVITIES Procedures used (Appendix A): DND19 Software Configuration Management Procedure Rev 02 links responsibilities to tasks. Configuration management is documented in the DND04T01 Design and Development Plan (DDP) Rev 02. Varian engineering infrastructure team is specified as responsible, in DND04T01 Design and Development Plan (DDP) Rev 02, section 5.2. Device records (Appendix B): D45739 HAL 4.0 Design and Development Plan Rev 06.docx P d) their relationship with other organizations, such as software development or maintenance Procedures used (Appendix A): DND19 Software Configuration Management Procedure Rev 02 includes engineering development and testing organizations/functions Configuration management is documented in the DND04T01 Design and Development Plan (DDP) Rev 02."
Does the organization have documented design and development procedures compliant with applicable regulations?,0.586878,0.360890776,D70036 HAL 4.0 Software Description Report China Submission Rev 03 .docx.pdf,D70036,3,41,4 on-board USB 3.0 ports > 2.4 Life Cycle (生存周期)(No change),23,"Varian utilizes a process based on the Rational Unified Process, and is defined in document reference DND01 Design and Development. This procedure defines the phases of a project, and more specifically, the various documentation requirements for each project phase to provide a high level of confidence in both the product, and the processes used to develop that product. The procedure further defines the level of management oversight necessary, in the form of Phase Gates at the end of each prescribed phase. The main purpose of the procedure is to comply with global regulatory requirements for design control, in particular US FDA 21 CFR 820, and ISO 13485. A second document, RSK01 Medical Device Risk Management is used to supplement DND01 and provides guidance on Risk Management consistent with EN ISO 14971:2019 Error! Reference source not found.. Software Design History File Index table, updated per internal company process."
How is risk integrated into design and development activities?,0.584627,0.390552729,D19996 Halcyon 2.0 Manufacturing Plan - Rev04.pdf,D19996,4,19,2. Project Organization > 3.3 Project Risk,11,"Refer to D23997 Halcyon v2.0 Design and Development Plan for program risk. Specially, the following main risks will impact manufacturing activity: • Design freeze may delay due to technical risk. This design freeze delay will impact mfg activities. Such as preproduction, production start time, and the time for shipment. • Due to BJ factory is warming up for Halcyon v1 production, the resource from BJ factory could be some risk. Mfg NPI PM will closely work with BJ team to make sure we have enough resource for HALv2. • During H2.0 NPI phase, project need borrow H1.0 production for prototype build. The procedure of borrow and return need to be aligned with factory process. • Material purchasing time and lead time will be risk as project only last for about 1 year and only one round for prototype build."
Does the organization have documented design and development procedures compliant with applicable regulations?,0.58249104,0.26188614689999995,D69193 HAL 4.0 IEC 62366-1 2015 Usability Assessment Form Rev01.docx.pdf,D69193,1,4,Document_Header (Continued),4,"4.1 General Requirements 4.1.1 The MANUFACTURER has established, documented, implemented and maintained a USABILITY ENGINEERING PROCESS to provide SAFETY for the PATIENT, USER and others. User Centered Design (UCD) process is part of Product Life Cycle (PLC) process as described generally in DND01 Design and Development Procedure [1] and specifically in DND17 User Centered Design Integration into PLC [2] Additionally, RSK01 Medical Device Risk Management [3] describes the overall process for the medical device risk management process. P The process addressed USER interactions with the MEDICAL DEVICE according to the ACCOMPANYING DOCUMENT, including, but not limited to: – transport; – storage; – installation; – operation; – maintenance and repair; and – disposal. User Centered Design (UCD) process is part of Product Life Cycle (PLC) process as described generally in DND01 Design and Development Procedure [1] and specifically in DND17 User Centered Design Integration into PLC [2]"
How is risk integrated into design and development activities?,0.5784482,0.319556734,D69193 HAL 4.0 IEC 62366-1 2015 Usability Assessment Form Rev01.docx.pdf,D69193,1,6,Document_Header (Continued),5,"ISO 13485:2003, it incorporated the appropriate parts of or reference the USABILITY ENGINEERING PROCESS. User Centered Design (UCD) process is part of Product Life Cycle (PLC) process as described generally in DND01 Design and Development Procedure [1] and specifically in DND17 User Centered Design Integration into PLC [2] Planned activities were recorded in the Design and Development Plan [4] P 4.1.2__ RISK CONTROL as it relates to USER INTERFACE design To reduce use-related RISK, the MANUFACTURER shall use one or more of the following options, in the priority listed below: Document Reference No. in USABILITY ENGINEERING FILE: P a) inherent SAFETY by design; Risk Management Plan [5] Risk Management Report [6] P b) protective measures in the MEDICAL DEVICE itself or in the manufacturing PROCESS; Risk Management Plan [5] Risk Management Report [6] P c) information for SAFETY. Risk Management Plan [5] Risk Management Report [6] P 4.1.3 Information for SAFETY as it relates to USABILITY __"
What criteria are used to classify a product as a medical device under applicable regulatory jurisdictions?,0.57701874,0.505132854,D47457 HAL 4.0 APS Record Rev 04.docx.pdf,D47457,4,54,3.0 Summary of Applicable Standards and Guidance documents > 3.1 Applicable Standards (Continued),19,"In accordance with Rule 7 of the Medical Device Rules, 2017, it is specified that for the fulfilment of set “Product Standards” of medical devices, all products need to comply with the set Indian Standards as provided by BIS and the latest updated standards specified by the Ministry of Health and Family Welfare also known as MOHFW that falls under the authorization of the Central Government of India. 3.1.106 Applicable Statutory Rules No. 236, N/A01 July 2025 Australia: Therapeutic Goods (Medical Devices) RegulationsRegulatory Affairs Internal Report/ 20022002 Certification Following Varian procedures ensures compliance with the regulation. 3.1.107 Applicable RDC 751/2022 N/A15 September 2022 Brazil: Resolution RDC No 751 Dated September 15, 2022 Provides for risk classification, notification and registration regimes, and labeling requirements and medical device use instructions Regulatory Affairs Internal Report/ Certification Following Varian procedures ensures"
Does the documentation meet regulatory requirements for applicable markets?,0.5603128,0.410703599,D45070 Hal 4 Applicable Product Standards Rev 2.docx.pdf,D45070,2,4,1. Introduction > 1.2 Scope,3-4,"This document evaluates the applicability of the standards that must be met to obtain and maintain market access in VOS's principal worldwide markets.  Additional standards may be included for evaluation based upon customer requests and commercial considerations. This document identifies the standards that apply to the entire device or product. Project-specific requirements and timing may be specified in the Regulatory Plan and the Design and Development Plan. HAL 4.0 Applicable Product Standards This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date D45070 2 date of last e-sign Format L00003413 Rev 08        Page 4 of 95"
What criteria are used to classify a product as a medical device under applicable regulatory jurisdictions?,0.5418937,0.3325100926,D74481 HAL 4.0 Medical Device Classification for Japan (Intended for Hardware or Combined Hardware-Software Devices) Rev 01.pdf,D74481,1,16,Document_Header (Continued),7,"13. All devices incorporating, as an integral part, a substance which, if used separately, can be considered a medicinal product and which is liable to act on the human body with action ancillary to that of the device are Class III or Class IV. Class III or Class IV N/A – HAL does not contain a medicinal product. 14. All devices, whether active or inactive, manufactured or contained from animal or human cells / tissues / origins derivatives are Class III or Class IV. Class III or Class IV N/A – HAL does not contain animal or human cells / tissues / origins derivatives. 14(1). Exception: If the device is manufactured or contained from inactivated animal tissue or its derivatives and in contact with normal skin only, it is Class I. Class I N/A – HAL does not contain animal or human cells / tissues / origins derivatives. 15. All devices intended specifically to be used for disinfecting or sterilization (excluding disinfectant) of medical devices are Class II."
Does the organization have documented design and development procedures compliant with applicable regulations?,0.48488313,0.410834312,D30786 Halcyon 2.0 Regulatory Plan Rev 1.0.doc.pdf,D30786,1,10,6.5 Biocompatibility Information (Continued),7,"Applicable Standards document [3]. The tables in this section list the deliverables and the persons responsible for these. It is the responsibility of the project team to ensure that regulatory requirements, including national language requirements are included within design and development plans, according to cGMPs and national legislation. Regulatory submissions may require the product to meet additional specific standards recognized by individual national governmental authorities. Where these standards have been identified, they are listed in the country-specific subsections within Section 8 of this Regulatory Plan. Halcyon shall comply with at least the following standards and regulations with deliverables related to submissions"
Are document control processes followed?,0.47218147,0.2393967506,70002111-HSE-ENU-0.1_ PCP for HAL 4.0 LATE-STAGE CONFIGURATION KV INSTALLATION_CRATE.pdf,70002111,,15,Document_Header (Continued),6-8,not followed 操作错误 In-process preparation only; No impact to machine operation 准备过程中发生，不影响设 备治疗运行 3 1 Medium Failure in subsequent step causing rework delaying manufacturing 安装工序过程中失败， 导致返工延误生产 4 2 Medium MI training 生产工艺文件 培训 D59288 No (A) Printing Performance and Printer validation 印刷性能和打 印机验证 IQP  FOR ZEBRA PRINTER : 70001364 IQR FOR ZEBRA PRINTER : 70001365 PQP FOR HAL4.0 LABEL PRINTING : 70002222 PQR  FOR HAL4.0 LABEL PRINTING :: 70002223  Process Control Plan for HAL 4.0 Late Stage kV Configured Assembling(Beijing) Document Number: 70002111 Revision: 0.1 Varian Medical Systems Confidential Format ME 709 Rev 05     Page 7 of 10 Validation Justification ID A  Documents do not require validation B  No validation is required per LL00000081 Validation Assessment Process Flow. C  No Validaiton is required per ME 049 flowchart assessment D  Add justification as needed Note: * that means Critical Process **that means Special Process 
How is risk integrated into design and development activities?,0.47002196,0.361866,D70036 HAL 4.0 Software Description Report China Submission Rev 03 .docx.pdf,D70036,3,43,4 on-board USB 3.0 ports > 2.4 Life Cycle (生存周期)(No change) > 2.4.1 Lifecycle Summary (Continued),24,"and project by defining intended use requirements that reflect customer needs, as well as initiating the various project/device plans. Methods to aid planning, requirements definition and identification of project risks may include feasibility studies, prototyping, and high‐level design activities. The project‐specific Scalability Assessment in general, and the Design and Development Plan specifically, shall state the deliverables and their justifications for any exceptions as appropriate. 2.4.1.2 Elaboration The goal of the Elaboration phase is to establish detailed use cases and other device requirements. All the design input requirements are reviewed to ensure they are understood, non‐conflicting, unambiguous, and complete in regards to functionality, reliability, serviceability, and manufacturability, as appropriate. Device risk analysis is started and the main hazards and their causes including the potential misuse and off‐label use cases identified."
Are roles and responsibilities for design activities clearly defined?,0.46508378,0.276583672,D93257 Halcyon Evolve User Assistance Plan Rev02.docx.pdf,D93257,2,21,"4. Project Roles, Team, and Responsibilities",7,"RACI for Design & Development defines the roles and what key responsibilities each has in the development of Instructions for Use (where Instructions for Use is used generically for GPL-owned publication types). This UAP describes GPL-relevant organization and UA-specific organization where it is not included in the DDP/SDP (or when including it in the UAP facilitates project communication). The Library CD/DVD  included for some projects is not listed in this table, as it compiles the UA. Reviewers are subject-matter experts (SME) who are integral to product development. They contribute to content development via internal reviews of drafts, and through demos and discussions. Reviewers consult and contribute (C). Formal Reviewers participate in the Formal Review phase of documents. They do not sign approval. Formal reviewers consult and contribute (C). Stakeholders have interest in the project or deliverable but are not reviewers or approvers. Stakeholders consult and contribute (C)."
What criteria are used to classify a product as a medical device under applicable regulatory jurisdictions?,0.46447644,0.3331998411,D98314 Attachment to D47457 Rev 04 APS Assessment Rev01(1).xlsx.pdf,D98314,4,97,Document_Header (Continued),26,US: Medical Device Classification Procedures 28 July 2025Regulatory AffairsInternal Report/ Certification Following Varian procedures ensures compliance with the regulation. 2.25.6 Applicable SOR/98-282 Section 6-7 31 May 2025Canada: Medical Devices Regulation Classification of Medical Devices Regulatory AffairsInternal Report/ Certification Following Varian procedures ensures compliance with the regulation. 2.25.7 Applicable SOR/98-282 Sections 10- 31 May 2025Canada: Medical Devices Regulation Part 1 Section 10- 20 Safety and 20Effectiveness Regulatory AffairsInternal Report/ Certification Following Varian procedures ensures compliance with the regulation. 2.25.8 ApplicableSOR/98-282 Section 21-23 31 May 2025Canada: Medical Devices Regulation Part 1 Section 21-23 Labeling Requirements Regulatory AffairsLabel or LabellingFollowing Varian procedures ensures compliance with the regulation. 2.25.9 Not Applicable Canada: Medical Devices Regulation Part 1 Implant Registration
"How are changes such as maintenance releases, configuration changes, or software updates evaluated to determine if design controls apply?",0.46438536,0.465520591,D78333 Ethos 4.0 Description of interoperability Study Rev01.docx.pdf,D78333,1,41,1. Basic Information > 2.2 Interoperation Maintenance (Continued),21,"channels or are noted for inclusion in subsequent software versions. When an update becomes necessary the exact scope of the update will be defined. Necessary design changes will be handled via change request. Regression tests for the scope of the update will be defined. A risk assessment for the change will be performed. Any test activities will be documented. The update will be formally released and rolled out. The maintenance phase is active over the software’s lifetime as product evaluation and feedback are continuous. For the process document references on the maintenance related process parts the following can be referenced: The product development process DND01 Design and Development rev03 includes also Maintenance Release handling, ref ch7.1.2 The maintenance release activities are documented in DND01F02 Maintenance Release Document rev01 that in practice is the change request including e.g. maintenance scope, target"
Does the organization have documented design and development procedures compliant with applicable regulations?,0.45465374,0.31536828259999994,D68985 HAL 4.0 IEC 62304+A1 2015 Software Lifecycle Assessment Rev 01.docx.pdf,D68985,1,34,Document_Header (Continued),19,"Device records (Appendix B): D45739 HAL 4.0 Design and Development Plan b) the software configuration management ACTIVITIES and TASKS Procedures used (Appendix A): DND19 Software Configuration Management Procedure Rev 03   lists tasks Configuration management is documented in the DND04T01 Design and Development Plan (DDP) Rev 04. Device records (Appendix B): D45739 HAL 4.0 Design and Development Plan Pass c) the organization(s) responsible for performing software configuration management and ACTIVITIES Procedures used (Appendix A): DND19 Software Configuration Management Procedure Rev 03   links responsibilities to tasks. Configuration management is documented in the DND04T01 Design and Development Plan (DDP) Rev 04. Varian engineering infrastructure team is specified as responsible, in DND04T01 Design and Development Plan (DDP) Rev 04, section 5.2. Device records (Appendix B): D45739 HAL 4.0 Design and Development Plan Pass d) their relationship with other organizations, such as"
Is traceability established from requirements to design to verification and validation?,0.40157047,0.407012761,D78266 HAL 4.0 External Software Environment Assessment Report Rev01.docx.pdf,D78266,1,28,5. Risk Management (Continued),15-16,"(TRRs) are held to ensure that all prerequisites have been met before starting formal verification or validation testing. Test execution and defect verification continues until the product quality is acceptable for Design Output. Figure 1 shows the overall V&V planning process starting with the Verification and Validation Plans. From there, multiple Test Design Strategy documents, Test Specifications, Test Reports/Logs, and Trace Matrices may be created. The final V&V results are documented in the Verification and Validation Summary Reports. Verification and Validation Leads create the Verification and Validation Plans and Summary Reports and all groups responsible for verification or validation activities during a project create Test Design Strategy documents, Test Specifications, Test Reports/Logs, and Trace Matrices. Ethos 4.0 External Software Environment Assessment Report This document contains confidential, proprietary information of Varian"
What criteria are used to classify a product as a medical device under applicable regulatory jurisdictions?,0.39606816,0.538984656,D54978 HAL 4.0 Regulatory Plan Rev 5.0.pdf,D54978,5,9,4. Type of Device,5,"Product Code (US) / GMDN Country/Region Device Classification Reference/Regulation Number Code 21 CFR §892.5050 United States Class II IYE EU) 2017/745 Medical Devices Regulation EU (MDR) Class IIb (MDR) Annex VIII Classification Criteria, Rule 9 35159  (Accelerator System, Linear) Medical Device Regulations (SOR/98-282), Canada Class III Not applicable. Schedule 1, Rule 8 Pharmaceuticals and Medical Devices Japan Class III Act(PMD Act) Article2,Paragraph 5 35159000 (Accelerator System, Linear) NMPA Medical device classification category China Class III 05-01-01 (medical electron 2017 accelerator)"
"Are all devices, including accessories, software, variants, and families, appropriately identified and included?",0.36761075,0.335160494,D68685 HAL 4.0 Cybersecurity Statement Rev 01.docx.pdf,D68685,1,20,3.0 Definitions > 4.4 Accountability,6,"To ensure that the actions performed within the application software of the medical device are traced and a high level of auditability is maintained, Varian devices with application software implement a common infrastructure for user rights and logging. The user and service personnel actions, application states, and data conversions are recorded in a secured, auditable format. Appropriate identifiers such as Patient ID and other object IDs are included to ensure that authorized individuals can determine the users accountable and trace the impacted patient data/information. System administration operations, performed by Varian service personnel are also recorded in a secured, auditable format. Lastly, remote access sessions for the customers using Varian SmartConnect™ Solution is recorded in a secured, non-editable, auditable format for each occurrence of remote access, capturing the user accessing the system and the performed actions."
Is traceability established from requirements to design to verification and validation?,0.35835305,0.272144735,D86613 PPS Kits Packaging Validation Protocol Rev 01.pdf,D86613,1,9,3. Definitions,5,"3.1. Validation means confirmation by examination and provision of objective evidence that the particular requirements for a specific intended use can be consistently fulfilled. 3.2. Process validation means establishing by objective evidence that a process consistently produces a result or product meeting its predetermined specifications. 3.3. Design validation means establishing by objective evidence that device specifications conform to user needs and intended use(s). 3.4. Verification means confirmation by examination and provision of objective evidence that specified requirements have been fulfilled. 3.5. Test Case: A document specifying inputs, predicted results, and a set of execution conditions for a test item (IEEE 829 Standard) 3.6. Test Report provides the results of executed protocol in detail and describes if acceptance criteria were met."
Does the documentation meet regulatory requirements for applicable markets?,0.35298198,0.452275962,D54978 HAL 4.0 Regulatory Plan Rev 5.0.pdf,D54978,5,113,2. “Ethos Radiotherapy System ” > 9.5 China Marketing Clearance Strategy > 9.5.1 China documentation requirements (Continued),50-51,"1. If the registrant has communicated with the regulatory authority via a meeting before the submission of this change application, the following contents shall be provided (if applicable): (1) List the communication response from the regulatory authorities. (2) The questions clearly raised by the registrant in the communication and the suggestions provided by the regulatory authorities. (3) Explain how to solve the above problems in this application. 2. Where inapplicable, it should be clearly stated that the proposed product has not been previously applied and/or communicated before the application. DTR+200days China RA Regulatory Plan Revision Doc Number 5.0 D54978 Varian Confidential REG0504F01 Rev 05 This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Page 51 of 83 RPS Catalogue Application Title Data Requirements Conditions Due Date Responsibilit y"
Does the organization have documented design and development procedures compliant with applicable regulations?,0.3484234,0.434376895,D45070 Hal 4 Applicable Product Standards Rev 2.docx.pdf,D45070,2,14,2. Standards Evaluation > 2.1.1  Applicable Standards (Continued),8-9,"Item is not tested, it is verified by following SOPs Following Varian procedures ensures compliance with this standard. There are no separate test reports specific to the product being evaluated. x Applicable 2.1 -  Not Applicable 13 FDA guidance document – CDRH- Sept 9, 1999 Off-The-Shelf Software in Medical Devices Design and Development Procedure LL00000101 Item is not tested, it is verified by following SOPs Following Varian procedures ensures compliance with the guidance. There are no separate test reports specific to the product being evaluated. x Applicable 2.1 -  Not Applicable 14 FDA UDI GS1 UDI FDA Unique Device Identification System; Final Rule, 24 Sep 2013. GS1 Healthcare, Implementation Guideline X Self Cert  Third Party Following Varian procedures ensures compliance with the guidance. There are no separate test reports specific to the product being evaluated. HAL 4.0 Applicable Product Standards This document contains confidential, proprietary information of"
Are document control processes followed?,0.3408142,0.25974724579999997,D68985 HAL 4.0 IEC 62304+A1 2015 Software Lifecycle Assessment Rev 01.docx.pdf,D68985,1,110,Document_Header (Continued),62-63,"with the elements of this release that are developed by 3rd parties. Device records (Appendix B): Change control after the release will follow the process DND01 Pass – obsolescence Procedures used (Appendix A): L3975 Varian PLC Process for 3rd party projects Rev 02 mandates contractual change management arrangements to obsolescence L3975 Varian PLC Process for 3rd party projects Rev 02 is referenced in the DND04T01 Design and Development Plan (DDP) Rev 04, in connection with the elements of this release that are developed by 3rd parties. Device records (Appendix B): Change control after the release will follow the process DND01 Pass IEC 62304+A1:2015 Software Lifecycle Assessment for HAL 4.0 This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date See date of last D68985 01 approval Page 63 of 93 Format L13834-Rev 01 IEC 62304 Clause"
